isin,name,quantity,amount
RU000A10D9K0,RU000A10D9K0,13.0,13483.6
RU000A10CKY3,RU000A10CKY3,13.0,13175.5
RU000A10BWC6,RU000A10BWC6,12.0,12835.199999999999
RU000A10C6F7,RU000A10C6F7,13.0,13159.9
RU000A10B1Q6,RU000A10B1Q6,12.0,12535.199999999999
RU000A10ASC6,RU000A10ASC6,11.0,10890.0
RU000A10DHX9,RU000A10DHX9,13.0,13565.5
RU000A10DSC0,RU000A10DSC0,6.0,6249.599999999999
RU000A100A82,SU26228RMFS5,2.0,1658.72
RU000A1028E3,SU26235RMFS0,7.0,5129.95
RU000A102BT8,SU26236RMFS8,7.0,6163.29
RU000A1038Z7,SU26237RMFS6,2.0,1709.6
RU000A1038V6,SU26238RMFS4,10.0,5743.8
RU000A103BR0,SU26240RMFS0,2.0,1233.6
RU000A108EH4,SU26248RMFS3,1.0,880.37
RU000A0JV4N8,SU29009RMFS6,5.0,5287.35
RU000A0JV4Q1,SU29010RMFS4,5.0,5305.15
RU000A1025A7,SU29015RMFS3,21.0,20925.66
RU000A1025B5,SU29016RMFS1,1.0,1001.08
RU000A1066D5,SU29024RMFS5,1.0,958.93
RU000A1084E6,RU000A1084E6,14.0,13921.6
RU000A10CWF7,RU000A10CWF7,13.0,13403.0
RU000A10DJH8,RU000A10DJH8,12.0,12590.400000000001
RU000A10EC22,RU000A10EC22,3.0,3058.5
RU000A10ARS4,RU000A10ARS4,1.0,0.0
